N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"80,700",200,-0.25%,100,"4,817,615","5,969,783",53.82,"10,321,860",19.38,9.99,
2,SK하이닉스,"125,500","1,000",-0.79%,"5,000","913,643","728,002",49.58,"1,629,435",17.92,9.53,
3,카카오,"157,000","9,000",+6.08%,100,"696,969","443,930",33.20,"6,864,379",228.53,2.70,
4,NAVER,"399,500","10,000",+2.57%,100,"656,232","164,263",56.87,"1,002,659",4.07,15.22,
5,삼성전자우,"74,300",0,0.00%,100,"611,405","822,887",76.54,"892,056",17.84,N/A,
6,LG화학,"823,000","12,000",-1.44%,"5,000","580,975","70,592",46.06,"215,706",35.83,2.93,
7,삼성바이오로직스,"839,000","6,000",+0.72%,"2,500","555,124","66,165",10.05,"39,684",209.23,N/A,
8,현대차,"236,500",0,0.00%,"5,000","505,325","213,668",29.92,"632,064",28.62,2.04,
9,삼성SDI,"674,000","24,000",+3.69%,"5,000","463,473","68,765",42.62,"406,497",66.02,4.54,
10,셀트리온,"271,000","2,000",+0.74%,"1,000","373,754","137,917",20.73,"327,679",62.17,16.68,
11,기아,"88,700","1,100",+1.26%,"5,000","359,557","405,363",33.47,"1,622,636",15.93,5.05,
12,POSCO,"338,000","3,000",-0.88%,"5,000","294,692","87,187",53.78,"374,476",13.21,3.61,
13,현대모비스,"288,000",500,+0.17%,"5,000","273,004","94,793",36.55,"176,127",15.37,4.66,
14,LG생활건강,"1,702,000","37,000",+2.22%,"5,000","265,822","15,618",46.12,"40,082",36.69,17.92,
15,LG전자,"157,500","3,000",+1.94%,"5,000","257,745","163,648",30.67,"726,134",14.67,13.23,
16,SK이노베이션,"278,000","3,500",-1.24%,"5,000","257,054","92,466",23.63,"696,545",-26.29,-13.58,
17,삼성물산,"136,500",0,0.00%,100,"255,101","186,887",14.74,"293,818",16.26,3.81,
18,KB금융,"56,900",0,0.00%,"5,000","236,595","415,808",68.92,"979,232",5.92,8.53,
19,SK텔레콤,"326,500","1,000",-0.31%,500,"235,276","72,060",45.61,"150,875",15.04,6.44,
20,신한지주,"41,100",550,-1.32%,"5,000","212,322","516,600",60.86,"1,447,188",5.77,8.20,
21,SK,"281,000","4,000",-1.40%,200,"197,712","70,360",20.36,"193,552",32.72,1.11,
22,엔씨소프트,"822,000","2,000",-0.24%,500,"180,462","21,954",51.90,"62,913",38.17,20.83,
23,한국전력,"26,900",0,0.00%,"5,000","172,688","641,964",15.78,"2,770,158",8.41,2.91,
